monthssinceheatwave,treatment,replicate,femalereplicate,eggs
0,10 day,p1,1,0
0,10 day,p1,2,0
0,10 day,p1,3,5
0,10 day,p3,1,5
0,10 day,p3,2,4
0,10 day,p3,3,2
0,10 day,p4,1,1
0,10 day,p4,2,0
0,10 day,p4,3,2
0,10 day,p5,1,2
0,10 day,p5,2,2
0,10 day,p5,3,1
0,10 day,p6,1,2
0,10 day,p6,2,2
0,10 day,p6,3,2
0,10 day,p7,1,2
0,10 day,p7,2,2
0,10 day,p7,3,5
0,10 day,p8,1,4
0,10 day,p8,2,4
0,10 day,p8,3,4
0,10 day,p9,1,4
0,10 day,p9,2,6
0,10 day,p9,3,0
0,10 day,p10,1,6
0,10 day,p10,2,7
0,10 day,p10,3,7
0,15 day,p1,1,1
0,15 day,p1,2,2
0,15 day,p1,3,2
0,15 day,p2,1,7
0,15 day,p2,2,4
0,15 day,p2,3,4
0,15 day,p3,1,0
0,15 day,p3,2,0
0,15 day,p3,3,1
0,15 day,p5,1,0
0,15 day,p5,2,3
0,15 day,p5,3,2
0,15 day,p6,1,4
0,15 day,p6,2,1
0,15 day,p6,3,1
0,15 day,p7,1,0
0,15 day,p7,2,0
0,15 day,p7,3,6
0,15 day,p8,1,1
0,15 day,p8,2,3
0,15 day,p8,3,4
0,15 day,p9,1,1
0,15 day,p9,2,0
0,15 day,p9,3,4
0,5 day,p10,1,6
0,5 day,p1,2,7
0,5 day,p1,3,7
0,5 day,p3,1,4
0,5 day,p3,2,5
0,5 day,p3,3,2
0,5 day,p4,1,5
0,5 day,p4,2,4
0,5 day,p4,3,7
0,5 day,p5,1,0
0,5 day,p5,2,5
0,5 day,p5,3,3
0,5 day,p6,1,0
0,5 day,p6,2,0
0,5 day,p6,3,2
0,5 day,p8,1,6
0,5 day,p8,2,0
0,5 day,p8,3,0
0,5 day,p9,1,4
0,5 day,p9,2,4
0,5 day,p9,3,4
0,control,p1,1,2
0,control,p1,2,7
0,control,p1,3,5
0,control,p2,1,4
0,control,p2,2,3
0,control,p2,3,4
0,control,p3,1,5
0,control,p3,2,8
0,control,p3,3,3
0,control,p4,1,3
0,control,p4,2,2
0,control,p4,3,0
0,control,p6,1,5
0,control,p6,2,3
0,control,p6,3,6
0,control,p8,1,2
0,control,p8,2,4
0,control,p8,3,4
0,control,p9,1,0
0,control,p9,2,5
0,control,p9,3,2
0,control,p10,1,2
0,control,p10,2,1
0,control,p10,3,5
1,10 day,p1,1,0
1,10 day,p1,2,0
1,10 day,p1,3,0
1,10 day,p3,1,3
1,10 day,p3,2,3
1,10 day,p3,3,4
1,10 day,p4,1,4
1,10 day,p4,2,0
1,10 day,p4,3,2
1,10 day,p5,1,0
1,10 day,p5,2,0
1,10 day,p5,3,9
1,10 day,p6,1,0
1,10 day,p6,2,0
1,10 day,p6,3,0
1,10 day,p7,1,6
1,10 day,p7,2,7
1,10 day,p7,3,1
1,10 day,p8,1,3
1,10 day,p8,2,2
1,10 day,p8,3,0
1,10 day,p9,1,3
1,10 day,p9,2,0
1,10 day,p9,3,0
1,10 day,p10,1,2
1,10 day,p10,2,0
1,10 day,p10,3,1
1,15 day,p1,1,0
1,15 day,p1,2,4
1,15 day,p1,3,3
1,15 day,p2,1,1
1,15 day,p2,2,3
1,15 day,p2,3,6
1,15 day,p3,1,0
1,15 day,p3,2,2
1,15 day,p3,3,5
1,15 day,p5,1,0
1,15 day,p5,2,9
1,15 day,p5,3,2
1,15 day,p6,1,0
1,15 day,p6,2,0
1,15 day,p6,3,NA
1,15 day,p7,1,5
1,15 day,p7,2,0
1,15 day,p7,3,NA
1,15 day,p8,1,0
1,15 day,p8,2,6
1,15 day,p8,3,0
1,15 day,p9,1,5
1,15 day,p9,2,2
1,15 day,p9,3,0
1,5 day,p10,1,4
1,5 day,p1,2,3
1,5 day,p1,3,3
1,5 day,p3,1,8
1,5 day,p3,2,0
1,5 day,p3,3,NA
1,5 day,p4,1,0
1,5 day,p4,2,0
1,5 day,p4,3,2
1,5 day,p5,1,0
1,5 day,p5,2,0
1,5 day,p5,3,0
1,5 day,p6,1,0
1,5 day,p6,2,0
1,5 day,p6,3,0
1,5 day,p8,1,0
1,5 day,p8,2,5
1,5 day,p8,3,4
1,5 day,p9,1,0
1,5 day,p9,2,0
1,5 day,p9,3,5
1,control,p1,1,0
1,control,p1,2,0
1,control,p1,3,1
1,control,p2,1,0
1,control,p2,2,5
1,control,p2,3,9
1,control,p3,1,1
1,control,p3,2,2
1,control,p3,3,2
1,control,p4,1,9
1,control,p4,2,0
1,control,p4,3,3
1,control,p6,1,4
1,control,p6,2,9
1,control,p6,3,6
1,control,p8,1,3
1,control,p8,2,0
1,control,p8,3,9
1,control,p9,1,6
1,control,p9,2,7
1,control,p9,3,5
1,control,p10,1,1
1,control,p10,2,3
1,control,p10,3,4
3,10 day,p1,1,4
3,10 day,p1,2,22
3,10 day,p1,3,11
3,10 day,p3,1,11
3,10 day,p3,2,12
3,10 day,p3,3,13
3,10 day,p4,1,4
3,10 day,p4,2,4
3,10 day,p4,3,14
3,10 day,p5,1,3
3,10 day,p5,2,13
3,10 day,p5,3,12
3,10 day,p6,1,8
3,10 day,p6,2,2
3,10 day,p6,3,9
3,10 day,p7,1,10
3,10 day,p7,2,4
3,10 day,p7,3,3
3,10 day,p8,1,0
3,10 day,p8,2,4
3,10 day,p8,3,6
3,10 day,p9,1,8
3,10 day,p9,2,10
3,10 day,p9,3,0
3,10 day,p10,1,13
3,10 day,p10,2,3
3,10 day,p10,3,7
3,15 day,p1,1,1
3,15 day,p1,2,11
3,15 day,p1,3,7
3,15 day,p2,1,7
3,15 day,p2,2,10
3,15 day,p2,3,3
3,15 day,p3,1,7
3,15 day,p3,2,3
3,15 day,p3,3,7
3,15 day,p5,1,9
3,15 day,p5,2,3
3,15 day,p5,3,0
3,15 day,p6,1,6
3,15 day,p6,2,6
3,15 day,p6,3,12
3,15 day,p7,1,7
3,15 day,p7,2,8
3,15 day,p7,3,6
3,15 day,p8,1,8
3,15 day,p8,2,7
3,15 day,p8,3,0
3,15 day,p9,1,1
3,15 day,p9,2,9
3,15 day,p9,3,5
3,5 day,p1,1,5
3,5 day,p1,2,2
3,5 day,p1,3,13
3,5 day,p3,1,15
3,5 day,p3,2,8
3,5 day,p3,3,10
3,5 day,p4,1,11
3,5 day,p4,2,6
3,5 day,p4,3,13
3,5 day,p5,1,1
3,5 day,p5,2,7
3,5 day,p5,3,0
3,5 day,p6,1,9
3,5 day,p6,2,13
3,5 day,p6,3,0
3,5 day,p8,1,5
3,5 day,p8,2,0
3,5 day,p8,3,4
3,5 day,p9,1,11
3,5 day,p9,2,2
3,5 day,p9,3,5
3,control,p1,1,5
3,control,p1,2,0
3,control,p1,3,5
3,control,p2,1,10
3,control,p2,2,2
3,control,p2,3,15
3,control,p3,1,9
3,control,p3,2,14
3,control,p3,3,0
3,control,p4,1,8
3,control,p4,2,7
3,control,p4,3,0
3,control,p6,1,2
3,control,p6,2,0
3,control,p6,3,20
3,control,p8,1,7
3,control,p8,2,1
3,control,p8,3,13
3,control,p9,1,9
3,control,p9,2,15
3,control,p9,3,0
3,control,p10,1,13
3,control,p10,2,16
3,control,p10,3,3
